song,spotify uri_code,img
Rock 'n' Roll (Part 2),spotify:track:5F40csF5DtKOGfEg8vuz1d,https://i.scdn.co/image/ab67616d0000b27320a1f5b13c13e633c1b4f37e
Rock And Roll All Nite,spotify:track:6KTv0Z8BmVqM7DPxbGzpVC,https://i.scdn.co/image/ab67616d0000b27365a7b0a6969f0efcde4b5aca
Rocky Raccoon - Remastered 2009,spotify:track:1ITQbrueGLl581a25XXm9c,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2
Roll Over Beethoven - Remastered 2009,spotify:track:3idqWaBn3mRdsIodCU6uBi,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73
Roll in Peace (feat. XXXTENTACION),spotify:track:40oKW22ZNNkEdZLJTScaQI,https://i.scdn.co/image/ab67616d0000b273583ce93dc89d84218f233ea7
Rolling in the Deep,spotify:track:1c8gk2PeTE04A1pIDH9YMk,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
Royals,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,https://i.scdn.co/image/ab67616d0000b273187331e276c898d39764cc98
Run For Your Life - Remastered 2009,spotify:track:4gUYV3ktbaOeAK5KrXMWV5,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4
Runaway,spotify:track:3DK6m7It6Pw857FcQftMds,https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f
Runnin' Down A Dream,spotify:track:4AiMaeCXwsldpwvA5wu5gM,https://i.scdn.co/image/ab67616d0000b27336572e6726714544f5bed456
Safe And Sound,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,https://i.scdn.co/image/ab67616d0000b27313c6cb6a81c8db4dbc8b9924
Sail,spotify:track:7ueP5u2qkdZbIPN2YA6LR0,https://i.scdn.co/image/ab67616d0000b27332f1572738340ddc9569c54b
Saving Grace,spotify:track:7tSt526i6jm3zmhUfbXZHX,https://i.scdn.co/image/ab67616d0000b27333ddc5c6cbcd5246b39fdac3
Scream & Shout,spotify:track:2iJuuzV8P9Yz0VSurttIV5,https://i.scdn.co/image/ab67616d0000b273e6082141bd7c86ae9f11ea26
Self Care,spotify:track:5bJ1DrEM4hNCafcDd1oxHx,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534
Set Fire to the Rain,spotify:track:73CMRj62VK8nUS4ezD2wvi,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
Seven Nation Army,spotify:track:3dPQuX8Gs42Y7b454ybpMR,https://i.scdn.co/image/ab67616d0000b273a69f71a8794e2d867a52f98f
Sgt. Pepper's Lonely Hearts Club Band - Remastered 2009,spotify:track:4fUKE8EULjQdHF4zb0M8FO,https://i.scdn.co/image/ab67616d0000b27334ef8f7d06cf2fc2146f420a
Shake It,spotify:track:5619Ojc6t9evEEs3B7Drhe,https://i.scdn.co/image/ab67616d0000b273bcd25f2bbe505682863c3df2
Shake It Off,spotify:track:5xTtaWoae3wi06K5WfVUUH,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
She Came In Through The Bathroom Window - Remastered 2009,spotify:track:2jtUGFsqanQ82zqDlhiKIp,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25
She Knows (feat. Amber Coffman & Cults),spotify:track:0Fs9cdPDhptWEDJmiCbkEW,https://i.scdn.co/image/ab67616d0000b273c1bb124f993488cf21b269fc
She Loves You - Mono / Remastered,spotify:track:48JM82SHQTBYkhEYhMaOaa,https://i.scdn.co/image/ab67616d0000b2738d23bdb7c0a6c420f4ffa644
Shower,spotify:track:3DmW6y7wTEYHJZlLo1r6XJ,https://i.scdn.co/image/ab67616d0000b273f7f5503cfc6a54d31e65b112
Shut Up And Drive,spotify:track:4Tn2llBm1g0UlWctmgPL8Z,https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98
Silver Soul,spotify:track:2LZ2CNbcbJrwh53pitRgom,https://i.scdn.co/image/ab67616d0000b2739ba6a1b973e91955ab23c50c
Slippery (feat. Gucci Mane),spotify:track:0TBgMKD86t1VP3IzhxCoUl,https://i.scdn.co/image/ab67616d0000b2736275aeac316378b0dd4f31fd
Smells Like Teen Spirit,spotify:track:5ghIJDpPoe3CfHMGu71E6T,https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf
Snow (Hey Oh),spotify:track:2aibwv5hGXSgw7Yru8IYTO,https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517
So Good,spotify:track:28GUjBGqZVcAV4PHSYzkj2,https://i.scdn.co/image/ab67616d0000b273a191830c8b300bc71c2faac7
Something - Remastered 2009,spotify:track:0pNeVovbiZHkulpGeOx1Gj,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25
Song 2 - 2012 Remaster,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,https://i.scdn.co/image/ab67616d0000b273de114203356c1f7b136960b6
Starships,spotify:track:1oHNvJVbFkexQc0BpQp7Y4,https://i.scdn.co/image/ab67616d0000b27385235715597dcd07bb9e0f84
Start Me Up - Remastered 2009,spotify:track:7HKez549fwJQDzx3zLjHKC,https://i.scdn.co/image/ab67616d0000b27308fc42e575043a753f60d675
Stay,spotify:track:1dEy9Pl81QopSxNsPxXQxv,https://i.scdn.co/image/ab67616d0000b2730e6cedee56e37a9a65f2164d
Still into You,spotify:track:3SXXFIZel1VQQ4ENiqozxi,https://i.scdn.co/image/ab67616d0000b273fa94e7d8d2480cc906ba4441
Stolen Dance,spotify:track:0ZfByLXCeKchuj7zi1CJ0S,https://i.scdn.co/image/ab67616d0000b273266539b00fd32cbcb7579f6c
Strawberry Fields Forever - Remastered 2009,spotify:track:3Am0IbOxmvlSXro7N5iSfZ,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1
Summer Of '69,spotify:track:0GONea6G2XdnHWjNZd6zt3,https://i.scdn.co/image/ab67616d0000b273cf1fee2a55e98e22bf358512
Summertime Sadness,spotify:track:2dBwB667LHQkLhdYlwLUZK,https://i.scdn.co/image/ab67616d0000b273cb76604d9c5963544cf5be64
Super Bass,spotify:track:3hlksXnvbKogFdPbpO9vel,https://i.scdn.co/image/ab67616d0000b273aa7d2641af0fa4c1f76fafbf
Sweet Caroline,spotify:track:62AuGbAkt8Ox2IrFFb8GKV,https://i.scdn.co/image/ab67616d0000b2734d1a7a3e5043173883653ffc
Sweet Child O' Mine,spotify:track:7snQQk1zcKl8gZ92AnueZW,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5
Sweet Home Alabama,spotify:track:7e89621JPkKaeDSTQ3avtg,https://i.scdn.co/image/ab67616d0000b27317e1907923e91181f38290ac
Swimming Pools (Drank),spotify:track:6REbwUNlppTfcnV4d4ZoZi,https://i.scdn.co/image/ab67616d0000b273b5ef185d28724c5573c2ac9c
T-Shirt,spotify:track:1rkfJLgTlB6XYNjgZ0sVaK,https://i.scdn.co/image/ab67616d0000b2736275aeac316378b0dd4f31fd
T.N.T.,spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,https://i.scdn.co/image/ab67616d0000b273286a0837ff3424065a735e0a
THE SCOTTS,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,https://i.scdn.co/image/ab67616d0000b27311d6f8c713ef93a9bb64ddfe
Taxman - Remastered 2009,spotify:track:4BRkPBUxOYffM2QXVlq7aC,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a
Tequila Shots,spotify:track:30KctD1WsHKTIYczXjip5a,https://i.scdn.co/image/ab67616d0000b2739bf7698a1737bc7c2e4a14f3
The Boys Are Back In Town,spotify:track:43DeSV93pJPT4lCZaWZ6b1,https://i.scdn.co/image/ab67616d0000b273e8f69ab903901064b1f19249
The Ecstasy Of Gold - 2004 Remaster,spotify:track:6PrKZUXJPmBiobMN44yR8Y,https://i.scdn.co/image/ab67616d0000b27388eb37784eee4c3651807406
The Edge Of Glory,spotify:track:0JNdS1n0ifOP25XvhwAMgM,https://i.scdn.co/image/ab67616d0000b2734ba15b951a5cff36133ca5bd
The Final Countdown,spotify:track:3MrRksHupTVEQ7YbA0FsZK,https://i.scdn.co/image/ab67616d0000b2732d925cec3072ed1b74e5188f
The Fool On The Hill - Remastered 2009,spotify:track:6rHh8urosEFRI67xVa6fzU,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1
The Landing,spotify:track:0HUfzIypsov0v7PBSKXqFg,https://i.scdn.co/image/ab67616d0000b2736e33c9d9e822a115bb754b81
The Night Before - Remastered 2009,spotify:track:5xcfepnz1v7a83T8An9gjw,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa
The Nights,spotify:track:0ct6r3EGTcMLPtrXHDvVjc,https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad
The Sound of Silence,spotify:track:3YfS47QufnLDFA71FUsgCM,https://i.scdn.co/image/ab67616d0000b273dd9e17a2000252d6b79cf904
The Spins,spotify:track:7BcOUi4FQ3wBLmNTW0yfCR,https://i.scdn.co/image/ab67616d0000b2739d37f979163154904099eece
The Zoo,spotify:track:0YpmF3aZXOIuyi8itZbpkp,https://i.scdn.co/image/ab67616d0000b27313a706bf3aceaeb6081b8d59
There's A Place - Remastered 2009,spotify:track:4dessGxnKXmTbHPhVgqODq,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df
Think For Yourself - Remastered 2009,spotify:track:64bKVrkaXQAKx04dLHqCNz,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4
Thunderstruck,spotify:track:57bgtoPSgt236HzfBOd8kj,https://i.scdn.co/image/ab67616d0000b2738399047ff71200928f5b6508
Ticket To Ride - Remastered 2009,spotify:track:7CZiDzGVjUssMSOXrDNYHL,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa
Tik Tok,spotify:track:0HPD5WQqrq7wPWR7P7Dw1i,https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c
Timber (feat. Ke$ha),spotify:track:3cHyrEgdyYRjgJKSOiOtcS,https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90
Titanium,spotify:track:0lHAMNU8RGiIObScrsRgmP,https://i.scdn.co/image/ab67616d0000b273a197a2ef3ad6704d1f44aa4e
Tomorrow Never Knows - Remastered 2009,spotify:track:00oZhqZIQfL9P5CjOP6JsO,https://i.scdn.co/image/ab67616d0000b27328b8b9b46428896e6491e97a
Tongue Tied,spotify:track:0GO8y8jQk1PkHzS31d699N,https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b
Too Close,spotify:track:4sK96UnGx3NjBaqvfTG2dm,https://i.scdn.co/image/ab67616d0000b273e4a4c4e62815010f6cddd2ca
Toxicity,spotify:track:0snQkGI5qnAmohLE7jTsTn,https://i.scdn.co/image/ab67616d0000b27330d45198d0c9e8841f9a9578
Tunnel Vision,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,https://i.scdn.co/image/ab67616d0000b2731541a676423805fc68ff3e66
Twist And Shout - Remastered 2009,spotify:track:5ZBeML7Lf3FMEVviTyvi8l,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df
Umbrella,spotify:track:49FYlytm3dAAraYgpoJZux,https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98
Under Cover of Darkness,spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,https://i.scdn.co/image/ab67616d0000b273397d02cfe1aab2923f9d1697
Wasted,spotify:track:7m3povhdMDLZwuEKak0l0n,https://i.scdn.co/image/ab67616d0000b27398d7415fe3899cdffe673b22
We Can Work It Out - Remastered 2015,spotify:track:1hTUFqJuQAMjXVGwUPWDqi,https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf
WeCantStop,spotify:track:2y4lAQpi5VTNLu2ldeTdUH,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c
Weekend (feat. Miguel),spotify:track:6GnhWMhgJb7uyiiPEiEkDA,https://i.scdn.co/image/ab67616d0000b273ee0f38410382a255e4fb15f4
Welcome To The Jungle,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5
What's Up?,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,https://i.scdn.co/image/ab67616d0000b273381371cb8ce680d0dc324600
When I'm Sixty Four - Remastered 2009,spotify:track:1NrbnHlR2BFREcyWXHIHip,https://i.scdn.co/image/ab67616d0000b27334ef8f7d06cf2fc2146f420a
While My Guitar Gently Weeps - Remastered 2009,spotify:track:389QX9Q1eUOEZ19vtzzI9O,https://i.scdn.co/image/ab67616d0000b2734ce8b4e42588bf18182a1ad2
Whistle,spotify:track:3bC1ahPIYt1btJzSSEyyrF,https://i.scdn.co/image/ab67616d0000b273871d85943145dde548f4ae09
Who Will Survive In America,spotify:track:4e5IPJxSGVWPsaxQzdRseN,https://i.scdn.co/image/ab67616d0000b273d9194aa18fa4c9362b47464f
Wide Awake,spotify:track:5JLv62qFIS1DR3zGEcApRt,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616
With A Little Help From My Friends - Remastered 2009,spotify:track:2RnPATK99oGOZygnD2GTO6,https://i.scdn.co/image/ab67616d0000b27334ef8f7d06cf2fc2146f420a
Wonderwall,spotify:track:1qPbGZqppFwLwcBC1JQ6Vr,https://i.scdn.co/image/ab67616d0000b2732f2eeee9b405f4d00428d84c
Wrecking Ball,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c
Yesterday - Remastered 2009,spotify:track:3BQHpFgAp4l80e1XslIjNI,https://i.scdn.co/image/ab67616d0000b273e3e3b64cea45265469d4cafa
Yikes,spotify:track:1qsHYUd2c1wFGcn7e63QmG,https://i.scdn.co/image/ab67616d0000b2730cd942c1a864afa4e92d04f2
You Belong With Me,spotify:track:3GCL1PydwsLodcpv0Ll1ch,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc
You Give Love A Bad Name,spotify:track:0rmGAIH9LNJewFw7nKzZnc,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac
You Make Me Feel... (feat. Sabi),spotify:track:16Of7eeW44kt0a1M0nitHM,https://i.scdn.co/image/ab67616d0000b273a4c01842096428fb14859bdc
You Make My Dreams (Come True),spotify:track:4o6BgsqLIBViaGVbx5rbRk,https://i.scdn.co/image/ab67616d0000b273fe1a9aa59e3c6189a09ae37a
You Shook Me All Night Long,spotify:track:2SiXAy7TuUkycRVbbWDEpo,https://i.scdn.co/image/ab67616d0000b2730b51f8d91f3a21e8426361ae
Your Mother Should Know - Remastered 2009,spotify:track:1dxbAIfCASqv6jix2R1Taj,https://i.scdn.co/image/ab67616d0000b273692d9189b2bd75525893f0c1
ZEZE (feat. Travis Scott & Offset),spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,https://i.scdn.co/image/ab67616d0000b273f9508eb3070b95ceeb82788b
Zombie,spotify:track:7EZC6E7UjZe63f1jRmkWxt,https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796
goosebumps,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://i.scdn.co/image/ab67616d0000b273f54b99bf27cda88f4a7403ce
I Knew You Were Trouble.,spotify:track:6FB3v4YcR57y4tXFcdxI1E,https://i.scdn.co/image/ab67616d0000b2731c248e90c3e569f90aef9dec
Pump It,spotify:track:6btyEL6NwUa97Nex9cZFvo,https://i.scdn.co/image/ab67616d0000b27308b19a033829c0bec97be61a
Fuck You,spotify:track:4ycLiPVzE5KamivXrAzGFG,https://i.scdn.co/image/ab67616d0000b2736f50b3400595b123a916e0dc
Low (feat. T-Pain),spotify:track:0CAfXk7DXMnon4gLudAp7J,https://i.scdn.co/image/ab67616d0000b273f9bd7a6c772ac496015be3f8
Fire Burning,spotify:track:2oENJa1T33GJ0w8dC167G4,https://i.scdn.co/image/ab67616d0000b273ea34361c4a339d474c3be057
Wyclef Jean,spotify:track:55OdqrG8WLmsYyY1jijD9b,https://i.scdn.co/image/ab67616d0000b273d0c72291cd96834e199e1ff8
Cool Kids,spotify:track:13P5rwmk2EsoFRIz9UCeh9,https://i.scdn.co/image/ab67616d0000b273106fa02aaa287ec63af85aae
Run This Town,spotify:track:7LR85XLWw2yXqKBSI5brbG,https://i.scdn.co/image/ab67616d0000b273fec1b815bb3c50a64a90fd10
We Are Young (feat. Janelle Monáe),spotify:track:7a86XRg84qjasly9f6bPSD,https://i.scdn.co/image/ab67616d0000b27305fb4e9947c6edaf3836766e
Kryptonite,spotify:track:6ZOBP3NvffbU4SZcrnt1k6,https://i.scdn.co/image/ab67616d0000b2732868c4713a3912fd476b42f1
